dataset,distribution,dataset_size,precision,rep,algorithm,stream_length,true_cardinality,final_estimate,relative_error,memory_bytes,throughput_ops,elapsed_seconds,avg_checkpoint_error,max_checkpoint_error
clustered_wave_3m_3000000.txt,clustered_wave_3m,3000000,14,0,hll++,3000000,3000000,2.99837e+06,0.000542773,16384,1.04567e+08,0.0286897,0.00817703,0.0171461
clustered_wave_3m_3000000.txt,clustered_wave_3m,3000000,14,1,ll,3000000,3000000,3.00729e+06,0.00242853,16384,1.95257e+08,0.0153644,0.0107609,0.0207685
clustered_wave_3m_3000000.txt,clustered_wave_3m,3000000,14,1,hll,3000000,3000000,2.99837e+06,0.000542773,16384,1.37939e+08,0.0217487,0.00759876,0.0171461
clustered_wave_3m_3000000.txt,clustered_wave_3m,3000000,14,1,hll++,3000000,3000000,2.99837e+06,0.000542773,16384,9.4507e+07,0.0317437,0.00817703,0.0171461
clustered_wave_3m_3000000.txt,clustered_wave_3m,3000000,14,2,ll,3000000,3000000,3.00729e+06,0.00242853,16384,2.14077e+08,0.0140136,0.0107609,0.0207685
clustered_wave_3m_3000000.txt,clustered_wave_3m,3000000,14,2,hll,3000000,3000000,2.99837e+06,0.000542773,16384,1.53714e+08,0.0195167,0.00759876,0.0171461
clustered_wave_3m_3000000.txt,clustered_wave_3m,3000000,14,2,hll++,3000000,3000000,2.99837e+06,0.000542773,16384,1.22445e+08,0.0245009,0.00817703,0.0171461
uniform_2m_2000000.txt,uniform_2m,2000000,14,0,ll,2000000,2000000,1.99285e+06,0.00357443,16384,2.17161e+08,0.00920975,0.00731757,0.0155799
uniform_2m_2000000.txt,uniform_2m,2000000,14,0,hll,2000000,2000000,2.00581e+06,0.00290526,16384,1.56511e+08,0.0127787,0.00651549,0.0238046
uniform_2m_2000000.txt,uniform_2m,2000000,14,0,hll++,2000000,2000000,2.00581e+06,0.00290526,16384,1.00222e+08,0.0199557,0.00446993,0.00938401
uniform_2m_2000000.txt,uniform_2m,2000000,14,1,ll,2000000,2000000,1.99285e+06,0.00357443,16384,1.81289e+08,0.0110321,0.00731757,0.0155799
uniform_2m_2000000.txt,uniform_2m,2000000,14,1,hll,2000000,2000000,2.00581e+06,0.00290526,16384,1.29902e+08,0.0153962,0.00651549,0.0238046
uniform_2m_2000000.txt,uniform_2m,2000000,14,1,hll++,2000000,2000000,2.00581e+06,0.00290526,16384,1.05879e+08,0.0188895,0.00446993,0.00938401
uniform_2m_2000000.txt,uniform_2m,2000000,14,2,ll,2000000,2000000,1.99285e+06,0.00357443,16384,1.88994e+08,0.0105823,0.00731757,0.0155799
uniform_2m_2000000.txt,uniform_2m,2000000,14,2,hll,2000000,2000000,2.00581e+06,0.00290526,16384,1.05439e+08,0.0189683,0.00651549,0.0238046
uniform_2m_2000000.txt,uniform_2m,2000000,14,2,hll++,2000000,2000000,2.00581e+06,0.00290526,16384,1.08989e+08,0.0183505,0.00446993,0.00938401
uniform_5m_5000000.txt,uniform_5m,5000000,14,0,ll,5000000,5000000,5.004e+06,0.000799471,16384,2.26547e+08,0.0220705,0.00311086,0.0095298
