dataset,distribution,dataset_size,precision,rep,algorithm,checkpoint,stream_index,true_cardinality,estimated_cardinality,relative_error
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll++,1600,3086,1600,1600,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll++,1800,4596,1800,1800,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll++,2000,14824,2000,2000,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,ll,200,210,200,199.206,0.00396931
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,ll,400,433,400,400.864,0.00216046
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,ll,600,688,600,602.96,0.00493356
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,ll,800,978,800,810.732,0.013415
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,ll,1000,1308,1000,1010.53,0.0105329
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,ll,1200,1738,1200,1218.19,0.0151546
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,ll,1400,2333,1400,1408.88,0.00633976
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,ll,1600,3086,1600,1607.33,0.00457865
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,ll,1800,4596,1800,1809.33,0.00518109
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,ll,2000,14824,2000,2016.11,0.00805471
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll,200,210,200,199.206,0.00396931
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll,400,433,400,400.864,0.00216046
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll,600,688,600,602.96,0.00493356
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll,800,978,800,810.732,0.013415
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll,1000,1308,1000,1010.53,0.0105329
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll,1200,1738,1200,1218.19,0.0151546
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll,1400,2333,1400,1408.88,0.00633976
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll,1600,3086,1600,1607.33,0.00457865
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll,1800,4596,1800,1809.33,0.00518109
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll,2000,14824,2000,2016.11,0.00805471
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll++,200,210,200,200,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll++,400,433,400,400,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll++,600,688,600,600,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll++,800,978,800,800,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll++,1000,1308,1000,1000,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll++,1200,1738,1200,1200,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll++,1400,2333,1400,1400,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll++,1600,3086,1600,1600,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll++,1800,4596,1800,1800,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll++,2000,14824,2000,2000,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,ll,100,103,100,100.306,0.00306423
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,ll,200,220,200,201.231,0.00615365
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,ll,300,347,300,298.706,0.00431175
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,ll,400,506,400,395.741,0.0106471
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,ll,500,693,500,495.415,0.00916962
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,ll,600,913,600,595.699,0.00716778
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,ll,700,1212,700,696.601,0.00485559
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,ll,800,1626,800,799.178,0.00102744
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,ll,900,2365,900,896.063,0.0043747
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,ll,1000,9027,1000,994.586,0.00541364
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll,100,103,100,100.306,0.00306423
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll,200,220,200,201.231,0.00615365
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll,300,347,300,298.706,0.00431175
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll,400,506,400,395.741,0.0106471
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll,500,693,500,495.415,0.00916962
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll,600,913,600,595.699,0.00716778
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll,700,1212,700,696.601,0.00485559
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll,800,1626,800,799.178,0.00102744
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll,900,2365,900,896.063,0.0043747
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll,1000,9027,1000,994.586,0.00541364
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll++,100,103,100,100,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll++,200,220,200,200,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll++,300,347,300,300,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll++,400,506,400,400,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll++,500,693,500,500,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll++,600,913,600,600,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll++,700,1212,700,700,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll++,800,1626,800,800,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll++,900,2365,900,900,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll++,1000,9027,1000,1000,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,ll,100,103,100,100.306,0.00306423
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,ll,200,220,200,201.231,0.00615365
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,ll,300,347,300,298.706,0.00431175
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,ll,400,506,400,395.741,0.0106471
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,ll,500,693,500,495.415,0.00916962
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,ll,600,913,600,595.699,0.00716778
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,ll,700,1212,700,696.601,0.00485559
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,ll,800,1626,800,799.178,0.00102744
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,ll,900,2365,900,896.063,0.0043747
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,ll,1000,9027,1000,994.586,0.00541364
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll,100,103,100,100.306,0.00306423
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll,200,220,200,201.231,0.00615365
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll,300,347,300,298.706,0.00431175
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll,400,506,400,395.741,0.0106471
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll,500,693,500,495.415,0.00916962
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll,600,913,600,595.699,0.00716778
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll,700,1212,700,696.601,0.00485559
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll,800,1626,800,799.178,0.00102744
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll,900,2365,900,896.063,0.0043747
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll,1000,9027,1000,994.586,0.00541364
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll++,100,103,100,100,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll++,200,220,200,200,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll++,300,347,300,300,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll++,400,506,400,400,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll++,500,693,500,500,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll++,600,913,600,600,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll++,700,1212,700,700,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll++,800,1626,800,800,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll++,900,2365,900,900,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,hll++,1000,9027,1000,1000,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,ll,100,103,100,100.306,0.00306423
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,ll,200,220,200,201.231,0.00615365
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,ll,300,347,300,298.706,0.00431175
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,ll,400,506,400,395.741,0.0106471
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,ll,500,693,500,495.415,0.00916962
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,ll,600,913,600,595.699,0.00716778
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,ll,700,1212,700,696.601,0.00485559
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,ll,800,1626,800,799.178,0.00102744
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,ll,900,2365,900,896.063,0.0043747
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,ll,1000,9027,1000,994.586,0.00541364
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll,100,103,100,100.306,0.00306423
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll,200,220,200,201.231,0.00615365
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll,300,347,300,298.706,0.00431175
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll,400,506,400,395.741,0.0106471
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll,500,693,500,495.415,0.00916962
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll,600,913,600,595.699,0.00716778
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll,700,1212,700,696.601,0.00485559
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll,800,1626,800,799.178,0.00102744
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll,900,2365,900,896.063,0.0043747
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll,1000,9027,1000,994.586,0.00541364
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll++,100,103,100,100,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll++,200,220,200,200,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll++,300,347,300,300,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll++,400,506,400,400,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll++,500,693,500,500,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll++,600,913,600,600,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll++,700,1212,700,700,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll++,800,1626,800,800,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll++,900,2365,900,900,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,2,hll++,1000,9027,1000,1000,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,ll,61,63,61,61.1138,0.00186621
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,ll,122,132,122,122.456,0.00374173
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,ll,183,206,183,184.03,0.00562665
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,ll,244,277,244,243.805,0.000799067
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,ll,305,366,305,304.818,0.000596696
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,ll,366,463,366,366.059,0.000161328
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,ll,427,568,427,428.556,0.00364479
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,ll,488,687,488,490.263,0.00463628
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,ll,549,815,549,549.099,0.000181099
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,ll,610,986,610,610.224,0.000367473
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,ll,616,1000,616,616.453,0.000735433
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll,61,63,61,61.1138,0.00186621
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll,122,132,122,122.456,0.00374173
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll,183,206,183,184.03,0.00562665
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll,244,277,244,243.805,0.000799067
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll,305,366,305,304.818,0.000596696
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll,366,463,366,366.059,0.000161328
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll,427,568,427,428.556,0.00364479
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll,488,687,488,490.263,0.00463628
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll,549,815,549,549.099,0.000181099
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll,610,986,610,610.224,0.000367473
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll,616,1000,616,616.453,0.000735433
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll++,61,63,61,61,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll++,122,132,122,122,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll++,183,206,183,183,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll++,244,277,244,244,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll++,305,366,305,305,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll++,366,463,366,366,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll++,427,568,427,427,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll++,488,687,488,488,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll++,549,815,549,549,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll++,610,986,610,610,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,0,hll++,616,1000,616,616,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,ll,61,63,61,61.1138,0.00186621
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,ll,122,132,122,122.456,0.00374173
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,ll,183,206,183,184.03,0.00562665
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,ll,244,277,244,243.805,0.000799067
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,ll,305,366,305,304.818,0.000596696
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,ll,366,463,366,366.059,0.000161328
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,ll,427,568,427,428.556,0.00364479
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,ll,488,687,488,490.263,0.00463628
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,ll,549,815,549,549.099,0.000181099
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,ll,610,986,610,610.224,0.000367473
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,ll,616,1000,616,616.453,0.000735433
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll,61,63,61,61.1138,0.00186621
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll,122,132,122,122.456,0.00374173
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll,183,206,183,184.03,0.00562665
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll,244,277,244,243.805,0.000799067
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll,305,366,305,304.818,0.000596696
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll,366,463,366,366.059,0.000161328
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll,427,568,427,428.556,0.00364479
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll,488,687,488,490.263,0.00463628
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll,549,815,549,549.099,0.000181099
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll,610,986,610,610.224,0.000367473
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll,616,1000,616,616.453,0.000735433
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll++,61,63,61,61,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll++,122,132,122,122,0
