n,k,is_probable_prime,time_ns,modexp_count,is_carmichael,bits,rounds,time_ms,ground_truth,probable_prime,correct,false_positive
252601,1,0,6360,3,True,18,1,0.00636,False,False,True,False
278545,1,0,6409,4,True,19,1,0.006409,False,False,True,False
294409,1,0,6336,3,True,19,1,0.006336,False,False,True,False
314821,1,0,6343,2,True,19,1,0.006343,False,False,True,False
334153,1,0,6415,3,True,19,1,0.006415,False,False,True,False
340561,1,0,6381,4,True,19,1,0.006381,False,False,True,False
399001,1,0,6336,3,True,19,1,0.006336,False,False,True,False
410041,1,1,6499,3,True,19,1,0.006499,False,True,False,True
449065,1,0,6299,3,True,19,1,0.006299,False,False,True,False
488881,1,0,6383,4,True,19,1,0.006383,False,False,True,False
512461,1,0,6256,2,True,19,1,0.006256,False,False,True,False
561,2,0,15685,4,True,10,2,0.015685,False,False,True,False
1105,2,0,10084,4,True,11,2,0.010084,False,False,True,False
1729,2,0,8437,6,True,11,2,0.008437,False,False,True,False
2465,2,0,7150,5,True,12,2,0.00715,False,False,True,False
2821,2,0,6786,2,True,12,2,0.006786,False,False,True,False
6601,2,0,6320,3,True,13,2,0.00632,False,False,True,False
8911,2,0,6203,1,True,14,2,0.006203,False,False,True,False
10585,2,0,6217,3,True,14,2,0.006217,False,False,True,False
15841,2,0,6312,5,True,14,2,0.006312,False,False,True,False
29341,2,0,6019,2,True,15,2,0.006019,False,False,True,False
41041,2,0,6280,4,True,16,2,0.00628,False,False,True,False
46657,2,0,6871,6,True,16,2,0.006871,False,False,True,False
52633,2,0,6529,3,True,16,2,0.006529,False,False,True,False
62745,2,0,6311,3,True,16,2,0.006311,False,False,True,False
63973,2,0,6199,2,True,16,2,0.006199,False,False,True,False
75361,2,0,6640,5,True,17,2,0.00664,False,False,True,False
101101,2,0,6327,2,True,17,2,0.006327,False,False,True,False
115921,2,0,6421,4,True,17,2,0.006421,False,False,True,False
126217,2,0,6293,3,True,17,2,0.006293,False,False,True,False
162401,2,0,6570,5,True,18,2,0.00657,False,False,True,False
172081,2,0,6258,4,True,18,2,0.006258,False,False,True,False
188461,2,0,6239,2,True,18,2,0.006239,False,False,True,False
252601,2,0,6444,3,True,18,2,0.006444,False,False,True,False
278545,2,0,6352,4,True,19,2,0.006352,False,False,True,False
294409,2,0,6292,3,True,19,2,0.006292,False,False,True,False
314821,2,0,6272,2,True,19,2,0.006272,False,False,True,False
334153,2,0,6397,3,True,19,2,0.006397,False,False,True,False
340561,2,0,6481,4,True,19,2,0.006481,False,False,True,False
399001,2,0,6439,3,True,19,2,0.006439,False,False,True,False
410041,2,0,7673,6,True,19,2,0.007673,False,False,True,False
449065,2,0,6294,3,True,19,2,0.006294,False,False,True,False
488881,2,0,6534,4,True,19,2,0.006534,False,False,True,False
512461,2,0,6362,2,True,19,2,0.006362,False,False,True,False
561,3,0,16485,4,True,10,3,0.016485,False,False,True,False
1105,3,0,10311,4,True,11,3,0.010311,False,False,True,False
1729,3,0,8571,6,True,11,3,0.008571,False,False,True,False
2465,3,0,7100,5,True,12,3,0.0071,False,False,True,False
2821,3,0,6766,2,True,12,3,0.006766,False,False,True,False
6601,3,0,6206,3,True,13,3,0.006206,False,False,True,False
8911,3,0,6028,1,True,14,3,0.006028,False,False,True,False
10585,3,0,6280,3,True,14,3,0.00628,False,False,True,False
15841,3,0,6422,5,True,14,3,0.006422,False,False,True,False
29341,3,0,6146,2,True,15,3,0.006146,False,False,True,False
41041,3,0,6364,4,True,16,3,0.006364,False,False,True,False
46657,3,0,6986,6,True,16,3,0.006986,False,False,True,False
52633,3,0,6470,3,True,16,3,0.00647,False,False,True,False
62745,3,0,6285,3,True,16,3,0.006285,False,False,True,False
63973,3,0,6202,2,True,16,3,0.006202,False,False,True,False
75361,3,0,6715,5,True,17,3,0.006715,False,False,True,False
101101,3,0,6301,2,True,17,3,0.006301,False,False,True,False
115921,3,0,6405,4,True,17,3,0.006405,False,False,True,False
126217,3,0,6302,3,True,17,3,0.006302,False,False,True,False
162401,3,0,6679,5,True,18,3,0.006679,False,False,True,False
172081,3,0,6358,4,True,18,3,0.006358,False,False,True,False
188461,3,0,6181,2,True,18,3,0.006181,False,False,True,False
252601,3,0,6353,3,True,18,3,0.006353,False,False,True,False
278545,3,0,6375,4,True,19,3,0.006375,False,False,True,False
294409,3,0,6536,3,True,19,3,0.006536,False,False,True,False
314821,3,0,6253,2,True,19,3,0.006253,False,False,True,False
334153,3,0,6339,3,True,19,3,0.006339,False,False,True,False
340561,3,0,6326,4,True,19,3,0.006326,False,False,True,False
399001,3,0,6351,3,True,19,3,0.006351,False,False,True,False
410041,3,0,7693,6,True,19,3,0.007693,False,False,True,False
449065,3,0,6284,3,True,19,3,0.006284,False,False,True,False
488881,3,0,6540,4,True,19,3,0.00654,False,False,True,False
512461,3,0,6262,2,True,19,3,0.006262,False,False,True,False
561,15,0,16834,4,True,10,15,0.016834,False,False,True,False
1105,15,0,19374,4,True,11,15,0.019374,False,False,True,False
1729,15,0,9334,6,True,11,15,0.009334,False,False,True,False
2465,15,0,7168,5,True,12,15,0.007168,False,False,True,False
2821,15,0,6782,2,True,12,15,0.006782,False,False,True,False
6601,15,0,6567,3,True,13,15,0.006567,False,False,True,False
8911,15,0,6707,1,True,14,15,0.006707,False,False,True,False
10585,15,0,6448,3,True,14,15,0.006448,False,False,True,False
15841,15,0,6549,5,True,14,15,0.006549,False,False,True,False
29341,15,0,6152,2,True,15,15,0.006152,False,False,True,False
41041,15,0,6209,4,True,16,15,0.006209,False,False,True,False
46657,15,0,6943,6,True,16,15,0.006943,False,False,True,False
52633,15,0,6587,3,True,16,15,0.006587,False,False,True,False
62745,15,0,6333,3,True,16,15,0.006333,False,False,True,False
63973,15,0,6279,2,True,16,15,0.006279,False,False,True,False
75361,15,0,6647,5,True,17,15,0.006647,False,False,True,False
101101,15,0,6334,2,True,17,15,0.006334,False,False,True,False
115921,15,0,6465,4,True,17,15,0.006465,False,False,True,False
126217,15,0,6531,3,True,17,15,0.006531,False,False,True,False
162401,15,0,6706,5,True,18,15,0.006706,False,False,True,False
172081,15,0,6595,4,True,18,15,0.006595,False,False,True,False
188461,15,0,6249,2,True,18,15,0.006249,False,False,True,False
252601,15,0,6487,3,True,18,15,0.006487,False,False,True,False
278545,15,0,6400,4,True,19,15,0.0064,False,False,True,False
294409,15,0,6386,3,True,19,15,0.006386,False,False,True,False
314821,15,0,6370,2,True,19,15,0.00637,False,False,True,False
334153,15,0,6417,3,True,19,15,0.006417,False,False,True,False
340561,15,0,6529,4,True,19,15,0.006529,False,False,True,False
399001,15,0,6340,3,True,19,15,0.00634,False,False,True,False
410041,15,0,7823,6,True,19,15,0.007823,False,False,True,False
449065,15,0,6474,3,True,19,15,0.006474,False,False,True,False
488881,15,0,6582,4,True,19,15,0.006582,False,False,True,False
512461,15,0,6340,2,True,19,15,0.00634,False,False,True,False
561,20,0,16906,4,True,10,20,0.016906,False,False,True,False
1105,20,0,10213,4,True,11,20,0.010213,False,False,True,False
1729,20,0,8635,6,True,11,20,0.008635,False,False,True,False
2465,20,0,7328,5,True,12,20,0.007328,False,False,True,False
2821,20,0,6884,2,True,12,20,0.006884,False,False,True,False
6601,20,0,6383,3,True,13,20,0.006383,False,False,True,False
8911,20,0,6181,1,True,14,20,0.006181,False,False,True,False
10585,20,0,6296,3,True,14,20,0.006296,False,False,True,False
15841,20,0,12331,5,True,14,20,0.012331,False,False,True,False
29341,20,0,6178,2,True,15,20,0.006178,False,False,True,False
41041,20,0,6431,4,True,16,20,0.006431,False,False,True,False
46657,20,0,7031,6,True,16,20,0.007031,False,False,True,False
52633,20,0,6575,3,True,16,20,0.006575,False,False,True,False
62745,20,0,6380,3,True,16,20,0.00638,False,False,True,False
63973,20,0,6273,2,True,16,20,0.006273,False,False,True,False
75361,20,0,6624,5,True,17,20,0.006624,False,False,True,False
101101,20,0,6397,2,True,17,20,0.006397,False,False,True,False
115921,20,0,6405,4,True,17,20,0.006405,False,False,True,False
126217,20,0,6332,3,True,17,20,0.006332,False,False,True,False
162401,20,0,6638,5,True,18,20,0.006638,False,False,True,False
172081,20,0,6265,4,True,18,20,0.006265,False,False,True,False
188461,20,0,6283,2,True,18,20,0.006283,False,False,True,False
252601,20,0,6422,3,True,18,20,0.006422,False,False,True,False
278545,20,0,6339,4,True,19,20,0.006339,False,False,True,False
294409,20,0,6353,3,True,19,20,0.006353,False,False,True,False
