category,filename,n,median_time,mean_time,std_time,median_comparisons,median_swaps,correctness_rate
uniform,uniform-input-1140000-3-float.txt,1140000.0,399.0,399.0,,30877090.0,12941688.0,1.0
uniform,uniform-input-115000-1-float.txt,115000.0,30.0,30.0,,2363983.0,1273750.0,1.0
uniform,uniform-input-115000-2-float.txt,115000.0,22.0,22.0,,2289052.0,1093704.0,1.0
uniform,uniform-input-115000-3-float.txt,115000.0,35.0,35.0,,2329374.0,1119781.0,1.0
uniform,uniform-input-1150000-1-float.txt,956072.0,287.0,287.0,,23092000.0,11863572.0,1.0
uniform,uniform-input-1150000-2-float.txt,1075851.0,456.0,456.0,,26399983.0,13206881.0,1.0
uniform,uniform-input-1150000-3-float.txt,1150000.0,411.0,411.0,,33088229.0,13772044.0,1.0
uniform,uniform-input-1160000-1-float.txt,956066.0,315.0,315.0,,23436281.0,11260047.0,1.0
uniform,uniform-input-1160000-2-float.txt,1075893.0,333.0,333.0,,26812633.0,13730915.0,1.0
uniform,uniform-input-1160000-3-float.txt,1159320.0,403.0,403.0,,31398569.0,13111379.0,1.0
uniform,uniform-input-1170000-1-float.txt,955995.0,334.0,334.0,,23360785.0,11247445.0,1.0
uniform,uniform-input-1170000-2-float.txt,1075812.0,301.0,301.0,,26241915.0,12918827.0,1.0
uniform,uniform-input-1170000-3-float.txt,1159330.0,459.0,459.0,,32574931.0,14025334.0,1.0
uniform,uniform-input-1180000-1-float.txt,956056.0,324.0,324.0,,23670170.0,11084959.0,1.0
uniform,uniform-input-1180000-2-float.txt,1075821.0,359.0,359.0,,26849643.0,13114893.0,1.0
uniform,uniform-input-1180000-3-float.txt,1159300.0,523.0,523.0,,31331808.0,13279442.0,1.0
uniform,uniform-input-1190000-1-float.txt,956032.0,269.0,269.0,,22907776.0,11287848.0,1.0
uniform,uniform-input-1190000-2-float.txt,1075831.0,325.0,325.0,,26794493.0,13781858.0,1.0
uniform,uniform-input-1190000-3-float.txt,1159345.0,378.0,378.0,,31411319.0,13105417.0,1.0
uniform,uniform-input-12000-1-float.txt,12000.0,2.0,2.0,,185354.0,103445.0,1.0
uniform,uniform-input-12000-2-float.txt,12000.0,3.0,3.0,,194958.0,108996.0,1.0
uniform,uniform-input-12000-3-float.txt,12000.0,2.0,2.0,,190403.0,88474.0,1.0
uniform,uniform-input-120000-1-float.txt,120000.0,25.0,25.0,,2413394.0,1295685.0,1.0
uniform,uniform-input-120000-2-float.txt,120000.0,25.0,25.0,,2554791.0,1293804.0,1.0
uniform,uniform-input-120000-3-float.txt,120000.0,31.0,31.0,,2466337.0,1238001.0,1.0
uniform,uniform-input-1200000-1-float.txt,955995.0,410.0,410.0,,24466614.0,12444682.0,1.0
uniform,uniform-input-1200000-2-float.txt,1075838.0,293.0,293.0,,27652168.0,13351028.0,1.0
uniform,uniform-input-1200000-3-float.txt,1159313.0,433.0,433.0,,31653517.0,13707742.0,1.0
uniform,uniform-input-1210000-1-float.txt,956026.0,289.0,289.0,,22958297.0,11295020.0,1.0
uniform,uniform-input-1210000-2-float.txt,1075867.0,468.0,468.0,,26740382.0,13691273.0,1.0
uniform,uniform-input-1210000-3-float.txt,1159313.0,408.0,408.0,,31415426.0,13160071.0,1.0
uniform,uniform-input-1220000-1-float.txt,956039.0,414.0,414.0,,23183966.0,11005628.0,1.0
uniform,uniform-input-1220000-2-float.txt,1075841.0,374.0,374.0,,25874828.0,13246537.0,1.0
uniform,uniform-input-1220000-3-float.txt,1159296.0,363.0,363.0,,31610907.0,13360993.0,1.0
uniform,uniform-input-1230000-1-float.txt,956031.0,300.0,300.0,,22948012.0,11554239.0,1.0
uniform,uniform-input-1230000-2-float.txt,1075861.0,327.0,327.0,,26967571.0,13619433.0,1.0
uniform,uniform-input-1230000-3-float.txt,1159287.0,363.0,363.0,,33283708.0,13793224.0,1.0
uniform,uniform-input-1240000-1-float.txt,956049.0,313.0,313.0,,23967219.0,11817456.0,1.0
uniform,uniform-input-1240000-2-float.txt,1075871.0,310.0,310.0,,27004928.0,13964316.0,1.0
uniform,uniform-input-1240000-3-float.txt,1159292.0,374.0,374.0,,31867387.0,13035375.0,1.0
uniform,uniform-input-125000-1-float.txt,125000.0,24.0,24.0,,2579065.0,1275277.0,1.0
uniform,uniform-input-125000-2-float.txt,125000.0,27.0,27.0,,2578405.0,1392430.0,1.0
uniform,uniform-input-125000-3-float.txt,125000.0,25.0,25.0,,2599764.0,1307007.0,1.0
uniform,uniform-input-1250000-1-float.txt,955972.0,267.0,267.0,,22858168.0,11971767.0,1.0
uniform,uniform-input-1250000-2-float.txt,1075848.0,348.0,348.0,,26741879.0,13676392.0,1.0
uniform,uniform-input-1250000-3-float.txt,1159314.0,404.0,404.0,,31652510.0,13660369.0,1.0
uniform,uniform-input-1260000-1-float.txt,956049.0,292.0,292.0,,23808753.0,11080229.0,1.0
uniform,uniform-input-1260000-2-float.txt,1075870.0,368.0,368.0,,27220772.0,14013836.0,1.0
uniform,uniform-input-1260000-3-float.txt,1159312.0,347.0,347.0,,31499561.0,13235385.0,1.0
uniform,uniform-input-1270000-1-float.txt,955994.0,269.0,269.0,,23311548.0,10927754.0,1.0
uniform,uniform-input-1270000-2-float.txt,1075799.0,457.0,457.0,,27098983.0,13468178.0,1.0
uniform,uniform-input-1270000-3-float.txt,1159328.0,375.0,375.0,,31611927.0,13263343.0,1.0
uniform,uniform-input-1280000-1-float.txt,956039.0,293.0,293.0,,23927021.0,12248295.0,1.0
uniform,uniform-input-1280000-2-float.txt,1075851.0,327.0,327.0,,25921681.0,12958954.0,1.0
uniform,uniform-input-1280000-3-float.txt,1159325.0,369.0,369.0,,33643947.0,14212459.0,1.0
